index,MPC,primary deficit,debt,consumption,capital,r,ANMP,income,year,debt_chg,consumption_chg,capital_chg,income_chg,wage_chg,cap_income_chg
142,0.5,-0.013779484629109339,2.1968188850199097,1.4342139177131206,8.90159055749004,0.01627296657709347,0.013412857765333575,1.545198555544494,2168.0,2.1968188850199097,-0.0037481717891116872,-1.0984094425099595,0.007236466042261913,-0.054027042034625605,0.06126350807688756
143,0.5,-0.013779594663908221,2.196819961071938,1.4342138659308845,8.901590019464026,0.016272969665831846,0.013412859309702763,1.5451984608928389,2169.0,2.196819961071938,-0.003748223571347742,-1.0984099805359744,0.007236371390606733,-0.05402706963485875,0.06126344102546571
144,0.5,-0.013779694928589145,2.196820941580047,1.4342138187464553,8.901589529209971,0.016272972480317796,0.013412860716945738,1.5451983746454194,2170.0,2.196820941580047,-0.0037482707557769945,-1.0984104707900286,0.007236285143187304,-0.05402709478443592,0.06126337992762325
145,0.5,-0.013779786290652794,2.196821835027699,1.4342137757515874,8.901589082486145,0.01627297504490248,0.01341286199923808,1.545198296056012,2171.0,2.196821835027699,-0.0037483137506448827,-1.0984109175138546,0.007236206553779878,-0.05402711770095372,0.06126332425473374
146,0.5,-0.013779869540573319,2.1968226491450977,1.4342137365742846,8.901588675427446,0.01627297738177491,0.013412863167674288,1.5451982244446523,2172.0,2.1968226491450977,-0.003748352927947618,-1.0984113245725542,0.007236134942420147,-0.05402713858268808,0.06126327352510824
147,0.5,-0.013779945398637639,2.1968233909760726,1.4342137008755804,8.901588304511959,0.01627297951115389,0.013412864232363791,1.54519815919175,2173.0,2.1968233909760726,-0.003748388626651833,-1.098411695488041,0.007236069689517954,-0.05402715761030972,0.06126322729982771
148,0.5,-0.013780014521177471,2.1968240669390218,1.434213668346606,8.901587966530485,0.016272981451462984,0.013412865202518331,1.5451980997327301,2174.0,2.1968240669390218,-0.003748421155626236,-1.0984120334695149,0.0072360102304980245,-0.054027174948447436,0.061263185178945495
149,0.5,-0.013780077506248009,2.196824682882446,1.434213638705917,8.901587658558773,0.016272983219489917,0.013412866086531805,1.5451980455531464,2175.0,2.196824682882446,-0.0037484507963152502,-1.098412341441227,0.007235956050914316,-0.054027190747112486,0.06126314679802675
0,0.75,0.06,0.0,1.4829620895022322,10.0,0.010552748953573679,0.010552748953573679,1.5979620895022322,2026.0,0.0,0.04499999999999993,0.0,0.06000000000000005,0.0,0.06
1,0.75,0.06,0.0594059405940594,1.4829667988432762,9.955445544554456,0.010764146040437614,0.010658447497005646,1.5981266623983321,2027.0,0.0594059405940594,0.04500470934104395,-0.04455445544554415,0.0601645728961,-0.002109259596073961,0.06227383249217397
2,0.75,0.06,0.11885682654879547,1.4829810118866418,9.910857380088403,0.01097729075923834,0.010765019856406016,1.598307193372578,2028.0,0.11885682654879547,0.04501892238440952,-0.08914261991159655,0.06034510387034597,-0.004226480109624443,0.06457158397997054
3,0.75,0.06,0.17837777474509103,1.483004869933334,9.866216668941181,0.011192296956498704,0.010872522955036185,1.5985039841896804,2029.0,0.17837777474509103,0.04504278043110177,-0.1337833310588188,0.060541894687448305,-0.006352646674983117,0.06689454136243139
4,0.75,0.06,0.23799428888166094,1.483038533338042,9.821504283338752,0.011409283073716553,0.010981016013645123,1.5987173693909866,2030.0,0.23799428888166094,0.045076443835809776,-0.17849571666124753,0.06075527988875451,-0.008488770906208379,0.0692440507949629
5,0.75,0.06,0.29773230999350464,1.483082182457459,9.77670076750487,0.011628372491412922,0.0110905607224933,1.598947718008292,2031.0,0.29773230999350464,0.045120092955226676,-0.22329923249512973,0.06098562850605993,-0.010635893323477382,0.0716215218295373
6,0.75,0.06,0.35761826950181974,1.4831360187050602,9.731786297873635,0.011849693900450986,0.011201221427012326,1.5991954354617617,2032.0,0.35761826950181974,0.04517392920282792,-0.2682137021263653,0.06123334595952956,-0.0127950859405549,0.0740284319000843
